epochs,batch_size,learning_rate,lambda_weight,loss_function,ari,hvg,asw,f1,nmi,sil,graph,pcr,sil_batch,avg_bio,avg_batch,time
20,64,0.0001,0.4,log,0.5997772828244187,0.21575,0.75256884,0.969770253929867,0.8311883503369909,0.618625,0.9545401977047487,0.3809057900253989,0.80880636,0.6646132855483091,0.7147507824993538,780.3832547664642
20,64,0.0001,0.4,uniform,0.5997772828244187,0.21537499999999998,0.795058,0.9832535885167464,0.8311883503369909,0.67581517,0.9838330433625749,0.503354945421107,0.79685724,0.6834112331216167,0.761348408866513,733.7096779346466
20,64,1e-05,0.4,log,0.5997772828244187,0.29725,0.74441665,0.9771359807460891,0.8311883503369909,0.6174034,0.8200850894197463,0.29625369027274,0.8409766,0.6778619426734718,0.6524384585236959,714.8841710090637
20,64,1e-05,0.4,uniform,0.5997772828244187,0.27075,0.72759074,0.9734939759036144,0.8311883503369909,0.67442286,0.8454395572041012,0.3826801928154657,0.8438027,0.6795372014896022,0.6906408135085161,727.7736511230469
20,128,0.0001,0.4,log,0.5997772828244187,0.208125,0.78012365,0.9759615384615384,0.8311883503369909,0.6018995,0.9262377027502007,0.42089968966746005,0.82106435,0.666179221218698,0.7227339151356191,447.7137141227722
20,128,0.0001,0.4,uniform,0.5997772828244187,0.20375,0.76352787,0.9819927971188476,0.8311883503369909,0.66989547,0.9202105976085021,0.36610883804439054,0.8119397,0.6750219617668073,0.699419717330668,453.77048778533936
20,128,1e-05,0.4,log,0.5997772828244187,0.336125,0.740429,0.909323116219668,0.8311883503369909,0.59457225,0.8197798111368307,0.23296547829176842,0.8413996,0.6685691632701577,0.6313816331570571,447.4427101612091
20,128,1e-05,0.4,uniform,0.5997772828244187,0.290875,0.70736426,0.9067688378033205,0.8311883503369909,0.6519566,0.8465941871477616,0.38338543945227077,0.8453139,0.6646550583245457,0.691764511089883,454.9910886287689
20,256,0.0001,0.4,log,0.5997772828244187,0.24662500000000004,0.74278414,0.870026525198939,0.8311883503369909,0.62379324,0.8386509181712709,0.32011944360429934,0.82256526,0.6523657575360713,0.6604452064416187,311.2252688407898
20,256,0.0001,0.4,uniform,0.5997772828244187,0.23249999999999998,0.7479052,0.9807692307692307,0.8311883503369909,0.69136816,0.8890558971532357,0.37802109664145794,0.8305762,0.6805847035536662,0.6992177250688124,313.7718997001648
20,256,1e-05,0.4,log,0.5997772828244187,0.34675,0.7365026,0.8883116883116883,0.8311883503369909,0.5836365,0.8187922768404893,0.24931813785697512,0.8424232,0.6643610719269077,0.6368445384349214,315.77656960487366
20,256,1e-05,0.4,uniform,0.5997772828244187,0.311375,0.68533003,0.8784313725490196,0.8311883503369909,0.6328945,0.8456450264262166,0.39081745525342226,0.8471044,0.6564994258339912,0.6945222840912212,320.89869141578674
20,512,0.0001,0.4,log,0.5997772828244187,0.285125,0.75652087,0.9783653846153846,0.8311883503369909,0.6372101,0.8186997422008825,0.32038942695125305,0.8352823,0.6813644927018991,0.6581238316322549,242.11714386940002
20,512,0.0001,0.4,uniform,0.5997772828244187,0.256625,0.7351028,0.9771908763505402,0.8311883503369909,0.6808842,0.8942044902374824,0.3871562602029426,0.8392634,0.6801280774463022,0.7068747100047489,245.3809404373169
20,512,1e-05,0.4,log,0.5997772828244187,0.349125,0.72889626,0.8514056224899599,0.8311883503369909,0.5731283,0.818068521353327,0.24885818782165886,0.8435491,0.6555867998227899,0.6368252606391493,244.03460144996643
20,512,1e-05,0.4,uniform,0.5997772828244187,0.325125,0.67802835,0.8464619492656876,0.8311883503369909,0.6129862,0.8601262061392205,0.3743570499615161,0.8493241,0.6489278557572485,0.6946024544236139,248.47814989089966
20,1024,0.0001,0.4,log,0.5997772828244187,0.306875,0.75435853,0.9722557297949337,0.8311883503369909,0.61645496,0.818130321465672,0.3075277256706645,0.8365082,0.6801516419861017,0.654055420536687,203.8687779903412
20,1024,0.0001,0.4,uniform,0.5997772828244187,0.276875,0.7223377,0.9746070133010882,0.8311883503369909,0.66866356,0.8890907104656807,0.4018593929746959,0.84591436,0.6789081550974941,0.7122881557671535,207.29071688652039
20,1024,1e-05,0.4,log,0.5997772828244187,0.35262499999999997,0.72312355,0.8421052631578947,0.8311883503369909,0.5664146,0.8074096901415901,0.2463498921238289,0.84289837,0.6525390068974354,0.6322193170336228,205.43402528762817
20,1024,1e-05,0.4,uniform,0.5997772828244187,0.335125,0.6849122,0.8351351351351352,0.8311883503369909,0.5951626,0.838929590387842,0.363001071103307,0.8464961,0.6468834239192515,0.6828089222284136,214.24982976913452
30,64,0.0001,0.4,log,0.5997772828244187,0.207625,0.79372877,0.97708082026538,0.8311883503369909,0.6261208,0.9230025461634073,0.44369375810798156,0.79721755,0.6725868379987796,0.7213046173883043,1032.1845483779907
30,64,0.0001,0.4,uniform,0.5997772828244187,0.203375,0.80112123,0.9880668257756563,0.8311883503369909,0.7143274,0.9839738507735771,0.4576840463398561,0.8181036,0.6896426814655293,0.7532538361942341,1054.6831998825073
30,64,1e-05,0.4,log,0.5997772828244187,0.28150000000000003,0.7590208,0.9844311377245509,0.8311883503369909,0.6497805,0.8211200985706872,0.3567223508478826,0.8413789,0.6842830146834876,0.6730737922164683,1028.8062970638275
30,64,1e-05,0.4,uniform,0.5997772828244187,0.24512499999999998,0.7486272,0.9819927971188476,0.8311883503369909,0.69265425,0.8705779090242681,0.3877132198713029,0.84327465,0.683227478025683,0.7005219272844957,1055.0071544647217
30,128,0.0001,0.4,log,0.5997772828244187,0.217125,0.7961402,0.9832134292565947,0.8311883503369909,0.6606034,0.9673550652650205,0.4624532613869591,0.81014764,0.6813412767337198,0.746651989913758,623.027313709259
30,128,0.0001,0.4,uniform,0.5997772828244187,0.19499999999999998,0.78892493,0.9819927971188476,0.8311883503369909,0.6740365,0.9333244697626975,0.2710739237830552,0.81402385,0.6784866442663752,0.6728074152980268,637.4922215938568
30,128,1e-05,0.4,log,0.5997772828244187,0.313875,0.75154334,0.9795427196149218,0.8311883503369909,0.6160689,0.8203483623872408,0.26719072538673844,0.8441713,0.6819992659125003,0.6439034578010839,622.7175016403198
30,128,1e-05,0.4,uniform,0.5997772828244187,0.263,0.7259778,0.97708082026538,0.8311883503369909,0.67222404,0.847641239211221,0.38166871760590426,0.8484393,0.6782080461102247,0.6925830776785132,634.2892868518829
30,256,0.0001,0.4,log,0.5997772828244187,0.247,0.76175326,0.9519112207151664,0.8311883503369909,0.668821,0.9069037708382252,0.4159363805106057,0.830239,0.67674184869615,0.7176930497616931,416.76958084106445
30,256,0.0001,0.4,uniform,0.5997772828244187,0.20700000000000002,0.7663092,0.984468339307049,0.8311883503369909,0.7092912,0.9265072504692462,0.40960165799252707,0.829113,0.6830057323161899,0.7217406383511901,423.5905091762543
30,256,1e-05,0.4,log,0.5997772828244187,0.333625,0.74560595,0.909323116219668,0.8311883503369909,0.59833777,0.8203303648922019,0.25190096470555484,0.84459186,0.6696429107460995,0.6389410618668548,421.9104754924774
30,256,1e-05,0.4,uniform,0.5997772828244187,0.27349999999999997,0.70618486,0.9081632653061225,0.8311883503369909,0.64798623,0.8471933620211206,0.38117842785688505,0.8496708,0.6611333326243545,0.6926808724222564,427.11889028549194
30,512,0.0001,0.4,log,0.5997772828244187,0.264625,0.7633629,0.9819927971188476,0.8311883503369909,0.63367206,0.8203284703271182,0.2667017552322464,0.83713937,0.6791030622306747,0.6413898645388718,309.1228516101837
